token_id	image_path	image_sha256	image_bytes	video_path	video_sha256	video_bytes	metadata_path	metadata_sha256	metadata_bytes
18	images/animata/cards/18.png	c675598efb1c4f8815835ceba0bdee6182259887dc47fca555bb43696f3c10d6	1540169	videos/regents-club/18-v1.mp4	b0bdac033861c677c67f24be8917ebe2a162dc654ec8a07a255d3ac8630cf339	149439	metadata/regents-club/18.json	8f9fc8dcd72309ade95c0f7c34807da6cf2dbde2e62df2edf426dd2ca2ccffae	744
19	images/animata/cards/19.png	68633364fed27316940c93a57c34d7bd0a934f12787b1a4ee4dc7bce101fafa0	1402759	videos/regents-club/19-v1.mp4	31e6184fda70960d10243a798de3c870e041a19d8cb398d6e6e08f33e0f94e1e	136037	metadata/regents-club/19.json	09d1b45828c3c16ee0c32da8afe76ee77d0acd39eb50c9d3612a38a48f49e21c	743
20	images/animata/cards/20.png	912a335044270156ed2e26eb0cd9ebf27e157c6ced3fecaf72dc6e0c682fe98c	1504767	videos/regents-club/20-v1.mp4	a4a77f9789fc4e64054f675c78b9d9df96d53101a55c5bdb9dd1a43f35f85915	136003	metadata/regents-club/20.json	efdbdf2d7314780ecb8877b842dd2cc477ea6dea8eac9288df83518a9df0a6cb	737
21	images/animata/cards/21.png	8571d8d6b227b6539c6c656e318d8cc1137b99256957d3bb172224627a46a8b9	2463785	videos/regents-club/21-v1.mp4	aa24f69214f96096a803b0378ca33518a1e4c7c6d738e86ee554b2d4abf74429	191811	metadata/regents-club/21.json	742f319b6aa2571aa91ef2b2a031f5779ffffef6e8f1618f42124eae25c6e030	742
22	images/animata/cards/22.png	b81d15af15cfaa08b5098867d052a4321319e908c2e0b4671e456f69d45aef57	2149916	videos/regents-club/22-v1.mp4	df37f859f8356af2b8d8234cf092a78c477aa634dbd4a3facae0217324554bdf	211098	metadata/regents-club/22.json	f03ab57f267e6b104de19601bd8afe2e730ee8ca0bb29b39561c14ed4db95a25	742
23	images/animata/cards/23.png	d9c1882b49f415d9aeb114edc643ec6364d8cff31b95a0ed645135d8c1f6c458	1387833	videos/regents-club/23-v1.mp4	a10b4ed2229e51d07cadaac6b18aa0bd44094f0920e6face93a08a13de3acb6d	138083	metadata/regents-club/23.json	eac1fb545b384d4efcb48d2f27def0a5cf80d513b53a848d6325ab9237d71c8b	740
24	images/animata/cards/24.png	a59c18acbb1bec73aa27c3605dccd0fc7a5f98cb8668e61b2add331bdcb2faf7	1738304	videos/regents-club/24-v1.mp4	2cf63e7bce1ff458cc6eda29663e30245412ce28a56a2aba6b41628b94c0a07a	142510	metadata/regents-club/24.json	95454e75228d7dc606ce4f7741a9d77410890207462d23e7251b0f6889159cdc	743
25	images/animata/cards/25.png	9e762183633d0ea99af9c872ff8ce5dcbe39bcd5d6b26c2858db33e7510c8516	2618152	videos/regents-club/25-v1.mp4	31052ccafb683c554315b4aaafebd4bc58956f41c0e6806bc408fb02ed0398a9	226254	metadata/regents-club/25.json	978f483975b69369b1eeba9890fb598c503c21d1b9917914061d66c315fe90cf	739
26	images/animata/cards/26.png	9ecd6ecc538120560569271edb579d83a5a86750a76b7ce431f31f5f1b791fc2	1446795	videos/regents-club/26-v1.mp4	72206dcdc4ce83b881ea5cd4452802477abd87ebec9e53440a46f54b77a2a7f5	130672	metadata/regents-club/26.json	83039729b50d302e9dbfcbae21b200de44f13b34761eb64247cbde921dc1be7a	737
27	images/animata/cards/27.png	7fc1bff7ab6da93e4232cbca1cdd86e87c21212656a7fc52d6239c9ec402e9ac	1885174	videos/regents-club/27-v1.mp4	8a9b0e2091f3bde31fc7779757010133266888e2afd6f97d57d81ac16b9d0f6c	144244	metadata/regents-club/27.json	2a98a85a80f96aa7d254b639d00b4670575910488371ac2dd55c34a1b549b7b9	741
28	images/animata/cards/28.png	6e0794a5ae8406bb38dc4644b6cd55896a0b6b97c3d212f0522684a39d1042a8	2386623	videos/regents-club/28-v1.mp4	542dcda28ed7726fe818d9e003f1ce96e329299dc6ad6b9bf5909a0292d4a91d	246946	metadata/regents-club/28.json	b641704ba8ec1d3ae89d738900aa9a09024cc471c80f9ed764b225f10116120f	743
29	images/animata/cards/29.png	62898ace0eb91e4bcc0399c8663c40de5bb957d21a9dfb799f21d369a250797c	1722860	videos/regents-club/29-v1.mp4	232ace131810a149b2a1a3b6c1a7c4d192036b042ab0441ad762086aba4885ba	148659	metadata/regents-club/29.json	12a591b1753534ed1b894107fc83bbd0e328f1eea9c6570462eaa47daf4c9526	741
30	images/animata/cards/30.png	0fb8b46363ec596753889ba28fa491c643a343b12fcdf844fc61cf702ba8939b	1617512	videos/regents-club/30-v1.mp4	0705980a22d88d342fd076e7a3ab822d347127ccd1cd1b232f529ef5ccf16bc5	131933	metadata/regents-club/30.json	fca5ec38bbbb62c08c0cf97e0171ba24beba88ef0b2ee97caccb0067998eecef	743
31	images/animata/cards/31.png	503afb7ba685dd781cad682c1362f414ea9cc78b2a9f0c6d34ff56a0867df3a5	1878437	videos/regents-club/31-v1.mp4	bf89c970077ef922df0986dfab5ce542b7f132c2d8e87bf5eec9c40cc5fccfb0	157972	metadata/regents-club/31.json	2ad912ba44ba66dcef10856e445250c6cb3eb8dc4376090426bc460d0b4cfa74	744
32	images/animata/cards/32.png	cef4c4b3b18ca6a2b1e3add5ac3bb0b521c97438f4ff10c4f9fa4ee99472fe3a	1505560	videos/regents-club/32-v1.mp4	a5dfe6fe3f944d0ee01e63671c3186aa066122059adba3a6a3bf55366cce6bde	135764	metadata/regents-club/32.json	29bb396cf6f4be4e736c9177519cab3c9feaba0eeaf5f604190e602ece4d0c4a	740
33	images/animata/cards/33.png	1de64989c1ab0526bdffa1dbcb8da11fd35e0d003d051c54daf4efaa6efb6071	1521118	videos/regents-club/33-v1.mp4	8251f0fb510c46c8e9917c3d909cd1862b2ad840d58a1e1fed6907d80607d822	127590	metadata/regents-club/33.json	03657b11ce5dd42cc43ec838b87d20ac51ab66d7516736322bea503ca1812128	744
